"Movie.Name","Plot","dominant_topic"
"The Goose Girl ","The Goose Girl  :  Count von Herbeck, chancellor to the Grand Duke of Ehrenstein, is married but keeps it a secret because of his high ambitions. His dying wife writes him a letter urging him to make their young daughter a great lady. To this end, he arranges to have Torpete, a gypsy, to kidnap Gretchen, the daughter of the GRand Duke. He takes the coat and locket belonging to the little Princess and then sends his own daughter, Hildegarde, away. During the abduction of Gretchen she is wounded in the shoulder by a bullet. Fifteen years later Von Herbeck tells the Grand Duke he has found the Princess, and produces the coat, locket and Hildegarde as proof. Meanwhile, the real Princess has been abandoned by the gypsies and adopted by peasants, and has grown up as a ""Goose Girl."" The young King Fredrick of Jugendheit is officially betrothed to the fake Princess but he does not wish to marry a woman he has never met. He disguises himself as a Vinter and travels around the countryside, meets the Goose Girl, and rescues her from the insulting attentions of a vicious Count, and longs to marry her. But since he can not marry a peasant, true love seems doomed. Or does it? Count Von Herbeck, the chancellor to the Grand Duke of Ehrenstein, is married but keeps the fact secret on account of his high ambitions. His wife, dying, writes him a letter urging him to make their little child a great lady. With this purpose in view, he arranges with Torpets, a gypsy, to abduct the daughter of the Grand Duke. He takes the coat, hat and locket belonging to the little Princess and sends his own child away. During the abduction of the little Princess she is wounded on the shoulder by a bullet. Fifteen years later Von Herbeck tells the Grand Duke that he has found the Princess, and produces the locket and coat in proof of the identity of the child. Meanwhile the real Princess, after being abandoned by the gypsies, has been adopted by peasants and has grown up as a ""Goose Girl."" At the same period, the young King Frederick of Jugendheit is officially betrothed to the Princess of Ehrenstein but does not wish to marry a woman he has never seen, or to put diplomatic necessity above love. He disguises himself as a vintner, meets the Goose Girl, rescues her from the insulting attentions of a vicious Count and longs to marry her. When it seems impossible for the story to come to a happy conclusion the real identity of the Goose Girl is revealed through the bullet mark received when the gypsy stole her, and she takes her rightful place on the throne. This makes the marriage to the Princess of Ehrenstein the one thing in the world most to be desired by the King of Jugendheit, and everything ends happily after all.","Crime and Revenge"
"Sports Humanitarian of the Year Awards ","Sports Humanitarian of the Year Awards  :  Beyond the world-class action on the courts and fields, members of the sports world positively affect our communities through important charitable commitments. It's that premise that forms the foundation of the second annual Sports Humanitarian of the Year Awards Presented by ESPN.",NA
"The Desires of Dawn ","The Desires of Dawn  :  The Desires of Dawn is a film made in the style of the Nudie Cutie films of the 1960's. It features Nine Beautiful Women in all different stages of undress..and seduction! Dawn is a shy and sexually repressed young woman who falls asleep one night and awakens in her bed, in the middle of a field in a strange land. She wanders through her new surroundings and discovers eight beautiful women dancing and stripping before two Queens of her new purgatory. Will she survive her trip into the Exotica?","Crime and Revenge"
"The Road to Denver ","The Road to Denver  :  The Mayhew brothers flee from one Texas town to another as older brother Bill repeatedly attempts to keep younger brother Sam out of jail. Bill finally gives up on his younger brother and heads for Colorado. He gets a job and all is well until his brother shows up and takes a job that puts them on opposite sides of the law.","Sports and Competition"
"The Gift of Giving ","The Gift of Giving  :  Evie, a struggling waitress in her 20's, who like the other residents of her small town has fallen on tough times, discovers the true meaning of Christmas when fate places an empty Red Sack in her hands. Setting the sack next to her scrawny Christmas tree, Evie is shocked to discover that the empty sack mysteriously fills with presents. Once the shock wears off, Evie, because of her innocent nature and good sprite intuitively knows who the proper recipients are and begins giving out the gifts. Every time the sack is emptied, it magically refills with new gifts - Each gift alters the lives of the recipients, bringing new life and hope back to the town and it's residents - and with each act of kindness, Evie's life is transformed in ways she never imagined.","Crime and Revenge"
"Raiders, Raptors and Rebels: Behind the Magic of ILM ","Raiders, Raptors and Rebels: Behind the Magic of ILM  :  The brain-child of director George Lucas, ILM has come a long way since its inception in 1975 when Lucas was armed with one million dollars, an ambitious script and a dream that would become STAR WARS, the worldwide pop culture phenomenon. George Lucas and ILM forever changed the way films are made while inspiring a new generation of both film-makers and scientists who now work to shape the future, both onscreen and off. RAIDERS, RAPTORS AND REBELS features interviews with artists, scientists, technicians, directors and actors as they tell the stories behind some of the world's favorite movie moments from JURRASIC PARK to STAR WARS and INDIANA JONES with exclusive behind-the-scenes footage of this summer's blockbuster, Marvel's THE AVENGERS: AGE OF ULTRON.","Urban Life and Conflict"
"The Minnesota Delivery ","The Minnesota Delivery  :  Dub's (Wilbert ""Dubb J"" Jackson) cousin ""Chicago Rick"" (Geoff Brown), comes to visit his peaceful life in Minnesota. When Dub inquires of the reason for his visit, Rick tells Dub it's strictly casual, meanwhile Rick has plans to take over the streets of the Twin Cities. Chicago's Rick's path of destruction sets him up to bump heads with the current boss of the Twin Cities ""Plukey"" (Arvesta ""AK""Kelly), he ignites a war between under bosses, and makes himself a lead suspect in the murder of a local missing girl. Putting Dub in the middle of it all.","Fantasy and Quest"
"The Quick and the Dead ","The Quick and the Dead  :  Duncan and Susanna McKaskel are a young married couple travelling to the West with their son, hoping to start a new life. Along the way, they stop in a small town where they meet a gang of bandits led by Doc Shabitt. After Duncan unintentionally angers the gang, he and Susanna flee the town, but Shabitt leads his men in pursuit of revenge. A mysterious stranger by the name of Con Vallian soon begins helping the family as they try to find a new home and protects them from Shabitt's gang.","Fantasy and Quest"
"There Came an Echo ","There Came an Echo  :  There Came an Echo is a real-time strategy title with a heavy narrative focus being developed for release on the Steam, Xbox One, and Playstation 4 platforms. The player can use an innovative voice control system to direct their units around the battlefield to ensure a tactical advantage over the enemy. The game features a AAA voice cast, led by Star Trek regular Wil Wheaton and internet sensation Ashly Burch.",NA
"Elevator Action Returns ","Elevator Action Returns  :  Make your way through different buildings, collecting all the computer data hidden behind specially marked doors. Each building has many elevators that will be used while gathering this information. Shoot your enemies and avoid being shot by them.",NA
"The Survivor ","The Survivor  :  After mankind moved into space, the old planet Earth is forgotten, a polluted wasteland where only expelled prisoners still survive. One of them is Tarkin (Xavier Declie). When a capsule with the president lands on Earth, Kyla (Richard Moll) captures the politician because he knows a spaceship will come to the rescue, and that will be his chance to get off the prison planet. Tarkin, however, fights Kyla to free the president. While Kyla rules over an army of gladiators, Tarkin has to rely on the president's little grandson...",NA
"Chronicles of the Roman Numeral X ","Chronicles of the Roman Numeral X  :  A senator and a military leader execute a coup, by means of murder of a high official. The end results turns out different than planned and plunges the society into political strife that allows the groundwork to be set for the ascension to power of a special individual.","Aliens and Science Fiction"
"Sweatin' to the Oldies 2 ","Sweatin' to the Oldies 2  :  Richard Simmons is back! And this time, he's invited more of his friends to Pop's Diner for the sequel that has no equal. This workout party is a little longer than the first, and has a little bit of everything; a warm-up, low-impact aerobics, a cool-down, even chair exercises, using hand weights and floor work. Get down and get fit to ""The Loco-Motion,"" ""Fever,"" ""My Boyfriend's Back,"" ""Breaking Up Is Hard to Do,"" ""Windy,"" ""Big Girls Don't Cry,"" ""Jailhouse Rock,"" ""Summer in the City,"" ""Respect,"" ""Rescue Me"" and ""Oh, Pretty Woman."" So grab your sneakers and towel and get ready to have fun and get fit... again!",NA
"The Wanted Woman ","The Wanted Woman  :  This movie is about an ex FBI agent that, while being on the run from the FBI, flees to Bucharest and gets involved with Romania's child trafficking mafia, after a young boy, that won over her heart, gets kidnapped by them. She risks her life and cover to save him.","Aliens and Science Fiction"
"Plainsman and the Lady ","Plainsman and the Lady  :  St. Joseph, Missouri, in 1859, is divided by a railroad track that separates the richer and poorer classes of people. From the richer side comes Ann Arnesen, daughter of Michael Arnesen, owner of the Pony Express. Michael hires Sam Cotton to protect his pony line from hostile Indians and the attacks of the gang of Peter Marquette, owner of a stagecoach line who fears losing his contracts to the pony riders. Sam finds himself in a difficult position because Michael's wife, Cathy, is in love with Marquette. Sam, despite several attacks by Marquette's men, organizes the pony line. The ailing Michael is shocked to death by his wife's confession of hate, and Marquette tries to destroy the express stations. Sam, with the aid of a friendly Indian tribe, finally wipes out Marquette and his gang, and returns to St. Joseph and Ann, the woman he loves. Wealthy gambler Sam Cotton, looking for a new adventure, joins with local businessmen to start the Pony Express. But blazing the 2,000 mile delivery route proves easier than dealing with Peter Marquette, who uses his stagecoach line to deliver the mail.","Western and Adventure"
"In the Land of Fire & Ice ","In the Land of Fire & Ice  :  Betrayed by her second-in-command, a high-powered Kuwaiti CEO retreats to a remote peninsula in western Iceland, where she meets a reclusive Scottish innkeeper who reignites her passion for life.",NA
"Ace of Clubs ","Ace of Clubs  :  Both Jack Horton's father and then his brother have been killed with an ace of clubs left on their body. Attracted to McGill's newly arrived niece, Jack visits her and finds the two decks of cards with the club aces missing. Having been spotted by McGill's men who were rustling the Horton cattle, he apparently becomes the next victim when a club ace is placed on his unconcious body.","Fantasy and Quest"
"Ghost of Tsushima ","Ghost of Tsushima  :  The year is 1274. Samurai warriors are the legendary defenders of Japan, until the fearsome Mongol Empire invades the island of Tsushima, wreaking havoc and conquering the local population. As one of the last surviving samurai, you rise from the ashes to fight back. But, honorable tactics won't lead you to victory. You must move beyond your samurai traditions to forge a new way of fighting - the way of the Ghost -as you wage an unconventional war for the freedom of Japan.","Family and Struggles"
"Feud of the West ","Feud of the West  :  ""Whitey"" Rivell wins the Dry Grass Rodeo and is hired by rancher Gregory Walters, who wants him to hook up with the gang of Hawk Decker to get evidence they killed his son and nephew.Later,Rivell and the ranch hands are in the saloon when Walters enters and declares he has discovered the identity of the killer. The lights are shot out, and when they come on again, Walters is found stabbed with Rivell's Bowie knife in his back. Unable to explain, Rivell makes a getaway where, in the hills, he meets Molly Henderson, whose grandfather ""Wild Horse"" Henderson, has told her he knows Rivell is not guilty of any of the killings. Unknown to Walters, who has recovered from the stabbing,his foreman Bart Hunter is working with Decker against Walters, and Hunter also plans to double-cross Decker after he tidies up a few things. Cowhand ""Six-Bits"" tells Rivell the background before Rivell rides to rescue Molly, who has been captured by one of Hawk's henchmen. Walters is leading the Rocking U cowhands in a running fight against Decker's gang. Hunter shoots down Decker, then lies in ambush for Walters. Rivell rides up and drops Hunter with a bullet. Henderson reveals that Molly, unknown to Walters, is the daughter of Walters' son and Henderson's daughter, thereby making Molly the heir to the Rocking U.","War and Humanity"
"Native Nations ","Native Nations  :  NATIVE NATIONS is the story about freedom and the great lengths men and women throughout the history of this country will go to obtain it. The journey and sacrifice is harsh and often shared by friends and foes alike. When differences are put aside for freedom's cause, it is here we find our commonalties on which free countries are built.","Crime and Revenge"
"The Wolf in Sheep's Clothing ","The Wolf in Sheep's Clothing  :  John Wolf, a long time associate and friend of Edward Salander, the C.E.O of the Salander corporation, a front for a multi million pound criminal enterprise, is one of Edward's most talented employees. Max Salander, Edwards son has been wanting to fill his fathers shoes for many years. But there is one thing holding him back, John. His wife brutally slaughtered and himself, left for dead, John Wolf begins a journey that will uncover the plot behind the assassination of his family. Through a gruesome uprising, John must choose between revenge and retribution, to bring the Salander corporation to it's knees and bring an end to the tyranny of Max.","Family and Struggles"
"Jumbish: A Movement - The Movie ","Jumbish: A Movement - The Movie  :  Manas lives a comfortable upper middle-class life with his mother in a palatial house. His mother would like him to get married to a pretty girl named Vidya. But Manas has other plans, for he does not care for romance, sex, and love, as he considers them a waste of time and energy. He, therefore, spends his time in inventing a computer that will perform all those tasks, leaving the humans to carry on working without having to indulge in sex and giving birth to babies. His devout Hindu mother is appalled at this, and would like him to discontinue this research immediately, but Manas refuses to do so. Due to his refusal, his mother suffers a heart-attack and is bed-ridden. Ashamed at hurting his mother, Manas repents by marrying Vidya. After the marriage, there is considerable acrimony within their household, as Manas suspects Vidya is having an affair with an old flame by the name of Prabhat. This suspicion gathers momentum when he finds them together, and they separate. Manas then goes on with his research for the perfect computer to replace sex. What Vidya and Manas' mom do not know that Manas is being manipulated and controlled by a devilish force - a force that will not rest until it has enslaved all of humanity.","Crime and Revenge"
"The Lone Hand ","The Lone Hand  :  A farmer, Zachary Hallock (Joel McCrea) & his son Joshua (Jimmy Hunt) try to establish new roots on their farm near a small western town victimized by outlaws. The merchants & ranchers form a vigilante group to oppose the constant threat to their families. They also try to recruit Hallock, but he refuses & instead secretly joins the outlaw band terrorizing the community. His son & new bride Sarah Jane Skaggs (Barbara Hale) don't understand why he has seemly decided to become an outlaw & has turned his back on everything & everyone most dear to him. A farmer, Zachary Hallock (Joel McCrea) & his son Joshua (Jimmy Hunt) try to establish new roots on their farm near a small western town victimized by outlaws. The merchants & ranchers form a vigilante group to oppose the constant threat to their families. They also try to recruit Hallock, but he refuses & instead secretly joins the outlaw band terrorizing the community. His son & new bride Sarah Skaggs (Barbara Hale) don't understand why he has seemly decided to become an outlaw & has turned his back on everything & everyone most dear to him.","Holidays and Romance"
"Space 1889: The Secret of Phobos ","Space 1889: The Secret of Phobos  :  In Space 1889, mankind has discovered how to travel the mysterious ether - and conquered the jungle planet of Venus and the dwindling empire of the Martians. In this world the young adventurer Will Armstrong becomes the center of a solar system wide plot that could destroy all of mankind.",NA
"""Eleventh Incarnation"" ","""Eleventh Incarnation""  :  A teenage boy is sitting in the woods on his own because he is fed up with life and with the people that have caused his pain. He wishes he had power to get revenge on them all. Suddenly a mysterious man gives him a ring telling him it will give him power and that he will return in two days time for some thing in return saying that there's a price that he wants some thing in return and then he disappears and the teenage boy puts the ring on and then stumbles about and changes in to a zombygon a powerful monster and sets out to get his revenge.","Aliens and Science Fiction"
"NWA/Pro Wrestling Revolution: San Francisco 6.6.09 ","NWA/Pro Wrestling Revolution: San Francisco 6.6.09  :  NWA World's Heavyweight Champion Blue Demon takes on Oliver John for the title, or does he? What tricks do Oliver's Border Patrol buddies have up their sleeves? Also; 6-Man Lucha Libre action, a battle of the minis, the ladies are in action and much, much more!","Western and Adventure"
"Operation Christmas ","Operation Christmas  :  As her new romance blossoms, a single mother is dismayed when her boyfriend, a military sergeant, is deployed right before Christmas. Determined to not let it ruin the holidays for her and her children they decide to give back to the struggling military families on his base and, as their efforts go viral, they are rewarded in ways they never imagined.","Crime and Revenge"
"Story of the Christmas Carol ","Story of the Christmas Carol  :  On Christmas Eve, an old miser named Ebenezer Scrooge is visited by the spirit of his former partner, Jacob Marley. The deceased partner was in his lifetime as mean and miserly as Scrooge is now and he warns him to change his ways or face the consequences in the afterlife. Scrooge dismisses the apparition but the first of the three ghosts, the Ghost of Christmas Past, visits as promised. Scrooge sees those events in his past life, both happy and sad, that forged his character. The second spirit, the Ghost of Christmas Present, shows him how many currently celebrate Christmas. The Ghost of Christmas Yet to Come shows him how he will be remembered once he is gone. To his delight, the spirits complete their visits in one night giving him the opportunity to mend his ways.","Crime and Revenge"
"When the Daltons Rode ","When the Daltons Rode  :  Young lawyer Tod Jackson arrives in pioneer Kansas to visit his prosperous rancher friends the Daltons, just as the latter are in danger of losing their land to a crooked development company. When Tod tries to help them, a faked murder charge turns the Daltons into outlaws, but more victims than villains in this fictionalized version. Will Tod stay loyal to his friends despite falling in love with Bob Dalton's former fiancée Julie?","Fantasy and Quest"
"Heart of Chaos ","Heart of Chaos  :  A sorry of corruption murder and kidnap. Jake O'Neil (Adam Collins) a Royal Marines Commando operating from a special task force unit uncovers evidence that could bring down the Lord Mayer Harry Archibald (Ian Hitchens) and put him behind bars for life. Jade Roberts (Jess Norris), a childhood sweet heart of Jake discovers that Archibald was responsible for murdering her father and in turn is kidnapped. A hostage siege ensues and Jakes mission is now to rescue her and let nothing stand in his way.","Sports and Competition"
"The Outcasts of Poker Flat ","The Outcasts of Poker Flat  :  A murderous western outlaw, his wife, a disgraced gambler and a faded dance hall floozie and a few other socially undesirable characters are trapped in a snowbound mountain cabin. As the chances for rescue fade, the true natures of the cabin's occupants rise to the surface.",NA
"The Lone Rider in Texas Justice ","The Lone Rider in Texas Justice  :  The 9th film of PRC's ""Lone Rider"" series finds rancher Jack Stewart, after innocently serving a jail term for rustling, on his way back to his ranch and daughter Kate. He is stopped by some ranchers who were victims of the rustlers and, when he refuses to leave the territory, they attempt to summarily hang him. Sheriff Smoky Moore tries to stop it but is knocked out. Tom Cameron/The Lone Rider and Fuzzy Jones rescue Stewart and also see that Smoky is an old friend of theirs. Nora Mason, whose husband was hung for rustling the year before, is operating with her gang leader Trimmer Davis and his henchmen, from the Santa Clarissa Mission, where the three outlaws are posing as padres after imprisoning mission Padre José. Nora is staying at Stewart's ranch where, under an assumed name, she has made friends with Kate. Tom recognizes Nora, says nothing, but steals a token inscribed ""To Nora from Bruce"" from a necklace. The bandits run stolen cattle onto Stewart's ranch, kill him, and try to blame it on Tom. Smoky arrests him for his own protection, but later lets him escape to go after the rustlers. Nora's gang, posing as Padres, are rustling cattle. Tom Cameron suspects the Padres are fakes and to find out what the gang is up to next, he arrives at their mission posing as a Padre.","Sports and Competition"
"Action Galore ","Action Galore  :  A ranger out to capture a wanted criminal is shot at by a pretty young girl who mistakes him for a claim jumper.He is later ambushed and left for dead in a burning cabin by the man he's hunting, who his hiding out in a deserted mineshaft. Complications ensue.","History and Art"
"Faron: The Prophecy ","Faron: The Prophecy  :  A young man, Faron, who is prophesied to end the evil of the time through the shedding of his blood on the field of battle is in hiding, avoiding the burden of his destiny. Through the unexpected rescue of the Princess of Remealle and the ensuing days with the Princess he begins to fall in love with her. He then finds himself in a land few knew exists as the army of Huras prepares to strike, and Faron is left with one last decision to make.","Holidays and Romance"
"The Flower Shop ","The Flower Shop  :  Ellie, Ava and Hedy are three sisters who haven't talked in years. Their parents are two very elderly lovely people named Helena and Victor, who immigrated from Germany into the US with zero money and a dream. They built a sweet little mom'n'pop flower shop business that they ran and raised their three girls in for 50 years. One Christmas they were driving home from a night out with some friends and they were killed by a drunk driver. The Hospital is the first time that all three sisters had met together in many years. Their parents were very sad that the sisters didn't talk and had awful opinions about each other. Helena and Victor decided in their will to leave the flower shop to their daughters - with the condition that they couldn't sell it, and they had to work together. At the lawyer's office the lawyer read a heartfelt letter to the three women from their parents, about their love for them, and the flower shop. The letter said that they must work together and vote on every situation - what will 3 sisters with shady backgrounds do with a flower shop?","Crime and Revenge"
"The Culpepper Cattle Co. ","The Culpepper Cattle Co.  :  Teenager Ben Mockridge feels life in a Wild West farm town has nothing better to offer than horse-cart racing with other hicks, so he naively begs cattle company owner Frank Culpepper to engage him as the youngest cowboy for a long cattle trail to a fort. His mother barely notices. Ben doesn't even seem to get it when he's told to report as 'little Mary' to the old cook, whose words, ""Cowboy is something you do only if you have nothing better."" gradually become clear. Instead of an exciting heroic macho life, it's endless hard work, dumb chores and embarrassment, even getting literally caught with his pants down, robbed of his horse, and witnessing unpunished crimes...","Sports and Competition"
"Space Opera - The Shade of Human Soul ","Space Opera - The Shade of Human Soul  :  In a not so distant future, two astronauts are sent to the confines of the universe with a very important cargo, thousands of genetic material to colonize a new planet with similar conditions of Earth. They can't meet in person before reaching the planet and completing the mission, a security measure taken by Earth authorities to avoid any chance of human failure. The possibility of a relationship was the reason Mission 1 failed. Nadiya Sokolova, the astronaut from Coloziner 3 Mission, is convinced she needs to send a warning to the past for her future lover, Ferdinand Landon. Ferdinand, a career bureau officer in Earth Space Station at the time, receives two contradictory calls from her. Earth Control, a software elected to preside New United Nations, becomes aware of the calls and reveals her obscure plans of using time-space traveling. To fulfill her role in sending the message, Nadiya is assigned to new Colonizer Missions, alongside Ferdinand, the most trustful engineer in the Station. A new conflict of ideologies takes place between the issues of a new society and of the human nature. It will be a hundred years of adventure, discoveries and scientific paradoxes through galaxies to achieve a new home planet. Loneliness is the shade of human soul.","Aliens and Science Fiction"
"Hit the Ground Running ","Hit the Ground Running  :  Craig Marquand enlists the help of his friends Jon Hall and Grant Biggs to get back the money he owes mafia middle-man Sam Pathos. When Craig, Jon, and Grant decide to rob a drug dealer named DeGlow to get the money Craig owes, things quickly spiral out of control. Grant kills DeGlow and initiates a possible gang war between Mr. Pathos and DeGlow's South American boss DeSoto. It's a race for survival as the three try to get Sam his money and make it out of his pocket alive.",NA
"The Tears of Reed Catkins ","The Tears of Reed Catkins  :  Videos Japanese invasion of China in the ""pit plant tragedy"" as the background, by the withdrawal of troops, attack the Japanese, and courageous people fleeing the Japanese prefecture blocking security teams four clues parallel development, with several young love story the main line, bring out the Chinese people's kindness and brutal invaders.","Crime and Revenge"
"""Corsets to Catwalk"" ","""Corsets to Catwalk""  :  Get ready for a fascinating journey following the evolution of fashion throughout history and how it relates to current catwalk trends. From the mysterious allure of ancient Egyptian fashion, to the innovations of the industrial revolution, we see how the designs throughout history directly influence modern day fashion and our favorite designers.","Holidays and Romance"
"The First Love ","The First Love  :  College students Jian Qiao and elder sister Xiaoxuan Yang was in a relationship, their love suffered a variety of tests in 4 years, Jian Qiao had to interrupt the beginning of the literary and artistic creation to take care of his sick mother , in order to save money for treatment, he also sell books in streets, but he was died by accident. Xiaoxuan Yang help him complete his cause; Supermodel Di Na's cause into a low because of alcohol, she has been depressed after returning home, her first love Yifeng Bai supported her and help her return to the stage, the finally they back to love.","Aliens and Science Fiction"
"""Save the Last Dance for Me"" ","""Save the Last Dance for Me""  :  Eun Soo (Eugene) is a pure but unsophisticated woman who runs a small resort inn with her father. Eun Soo is just an ordinary girl, but her life changes when she meets a man (Ji Sung) who's completely lost his memory. She takes him in and cares for him, and even gives him a name: ""Baek Chang Ho"". Love blossoms, and soon wedding bells can be heard. But on the night of their wedding ceremony, Eun Soo's father passes away. And soon after, Chang Ho disappears too! In the blink of an eye, the two people Eun Soo loves most in the world have left her. But Chang Ho had his reasons for disappearing: his real name is Kang Hyun Woo, and he's heir to a large conglomerate. Even more, someone is plotting to kill him...","Western and Adventure"
"Kambal: The Twins of Prophecy ","Kambal: The Twins of Prophecy  :  Filipino actors Giovannie Pico (""ER"", ""American Yearbook"") and Jeff Francisco (""NUMB3RS"") star in Kambal, an sci-fi adventure cable TV pilot featuring top-notch martial arts action. Set in San Francisco, the pilot follows a pair of fraternal twins as they try to uncover the mystery behind a set of inherited magical bracelets.","Fantasy and Quest"
"Legion of Iron ","Legion of Iron  :  Billy Hamilton, high-school football star, and his girlfriend, Allyson, are kidnapped from Lover's Lane by a pair of armed men who helicopter them to an underground location hidden out in the desert. At this location, ""Queen"" Diana forces Billy to become a gladiator in death-matches which are bet on by jaded millionaires. Meanwhile, the facility's guards use Allyson for their sexual pleasure. Billy allies himself with black athlete Lyle Wagner, kills Rex, the top-rated gladiator, and then leads a successful revolt which results in freedom for himself and Allyson.",NA
"Jemiyah Jones & the Vampyre Ghost Ship ","Jemiyah Jones & the Vampyre Ghost Ship  :  15-year old English girl, Jemiyah Jones, continues the adventures this time in the realm of the Vampyre. The very elegant Romani's, the oldest Vampyre clan in Romania are airing dirty family laundry - and when Vampyres clash that laundry is always bloody.","Urban Life and Conflict"
"Law and Order ","Law and Order  :  Bill Ralston arrives in town planning to settle down but quickly gets caught up in the fight between the townspeople and Poe Daggett and his gang. He takes the job of town Marshal and soon brings law and order. When Daggetts men ambush him he kills Poe's brother. Poe then kills Bill's friend Brant and this leads to the showdown. Bill Ralston, retired U.S. Marshal, and his pals, Deadwood and Brant, encounter the Daggett brothers who run a lawless rule over Rhyolite. Cal Dixon, a law and order advocate, is murdered and Bill assumes protection of Dixon's daughter Sally and son Jimmy. The latter kills one of the Daggett gang and the outlaws try to lynch him but Bill breaks it up. Bill, Brant and Deadwood are sworn in as U.S. Marshals. The Daggets attempt to ambush Bill and Sally and Walt Daggett is killed in the gunfight. Kurt and Poe ride to Rhyolite where they kill Brant.","Sports and Competition"
"Grand Auto Theft: L.A. ","Grand Auto Theft: L.A.  :  A group of women take on a major crime lord on the streets of Los Angeles in the lawless ""Calles de Infierno"" district in a bid to take over his business and rule the city. But they'll first have to deal with a revenge-seeking vigilante looking to clean up the streets. The gangs, the cops and the vigilante clash in an explosive battle of cars, guns, double and triple-crosses on the streets of LA.","Aliens and Science Fiction"
"Interception ","Interception  :  When a prototype weapon is stolen from a government facility a software engineer unknowingly becomes involved when he receives the key disk needed for detonation. With no help from authorities he is forced to team up with a suspended FBI agent to stop the group of criminals from destroying a major US city.",NA
"The Maverick ","The Maverick  :  Army Lieutenant Devlin is ordered to take Sgt. Frick, Corporal Johnson and some troopers to break up a gang of gunmen hired by Frank Bullitt, leader of the cattlemen, to drive homesteaders from the range. Devlin's troop captures Bullitt and three of the hired killers: Fane, Karnes and Nixon. En route to Fort Jeffrey with the prisoners, the troop overtakes a wagon carrying Della Watson and her grandmother, and Devlin reluctantly agrees to let the two women accompany his party. Meanwhile, Bullitt's foreman, Massey, has sent more gunmen to free the prisoners, and the disgruntled Lt. Frick has sold out to Bullitt.","Sports and Competition"
"Hot Popcorn: Movie Awards Greatest Moments ","Hot Popcorn: Movie Awards Greatest Moments  :  MTV's Hot Popcorn: Movie Awards Greatest Moments Hosted by Jessica Alba Since its inception in 1992, the MTV MOVIE AWARDS has had its share of surprises - shocking even Hollywood's most jaded players. For the first time ever, all of these great moments are being packed into one show. MTV's Hot Popcorn: Movie Awards Greatest Moments is an unforgettable look at more than a decades' worth of celebrity-drenched highlights. Your host, Fantastic Four star Jessica Alba, is ready to deliver all of the fantastic goods: the over-the-top speeches, performances and backstage antics of the Hollywood elite. MTV's Hot Popcorn includes also includes never-before-seen footage that MTV has finally decided to air. By the time Jessica signs off, viewers will have gotten the full Movie Awards experience. Tossing to the moments packages from different attraction locations at Universal Studios, Jessica Alba will tour fans through the best of the MTV Movie Awards. In keeping with the movie theme, we're organizing our ""best of"" packages in a unique and fun way--into different genres (from romance and comedy to drama and classics) that will give fans a taste of the action they'll see on the 2005 show. With all the bases covered, MTV's Hot Popcorn: Movie Awards Greatest Moments is packed with jaw dropping, anything-goes moments that you can only see on MTV.","Holidays and Romance"
"To the Death ","To the Death  :  Kickboxing champ Rick Quinn decides to retire from the ring, but his main adversary, Denard, wants him to fight again and murders Quinn's wife. Quinn suspects Denard, but can't do anything. Three month later, Quinn is jailed after a drunken bar brawl; a rich man named Le Braque bails him out and asks him to fight for him.","War and Humanity"
"Brotherhood of Battle ","Brotherhood of Battle  :  Your mission is to defend your domain and spare no mercy for the opposing faction. Utilize the specialties of your forces well, the enemy shares no quarter. Each turn, you've got one minute to position your units, cast your spells, manage your keep, unleash destruction upon your opponent and hope to hell you've done some serious damage.",NA
"Secret Access: The Vatican ","Secret Access: The Vatican  :  The film takes you on a journey inside the Vatican like you've never seen it before. From the ancient ""City of the Dead"" beneath St. Peter's basilica to the vaults of the Secret Archives, to the Pope's private offices and TV room. The show also explores the long and tumultuous relationship between the Vatican and the U.S., uncovering documents that date back to the Civil War and exploring Reagan's relationship with John Paul II in their quest to combat the Soviets during the Cold War.","Family and Struggles"
"The Trail Drive ","The Trail Drive  :  Honest John is pulling off a swindle by buying cattle in Texas with worthless scrip and selling them in New Mexico for cash. Ken is leading the cattle drive not knowing that when they cross the state line Honest John's plan will have succeeded.","Sports and Competition"
"Pieces for Peace ","Pieces for Peace  :  Kenya's Presidential Elections of 2007 is marred by political and tribal conflict .Frenzied mobs of one tribe kill, burn and loot their neighbors' simply because they are from another tribe. At the center of the conflict is the issue of Land., its allocation, use and settlement. Against this backdrop Rohno a Kalenjin is set to marry the love of his life Wairimu a Kikuyu. In addition two brothers fight for control of their ancestral land from their Father who hangs on to its control and administration despite his advanced age. When all get caught up in the violence that rocks the country, decisions and choices must be made, the consequences of which could prove deadly to their very existence","War and Humanity"
"The Super Riders V3 ","The Super Riders V3  :  A man is kidnapped by ""Doctor Death"", and is given superpowers; but the man escaped from the evil ""Doctor Death"" and meets another man, who also, has been kidnapped by the evil doctor and given superpowers. Together they create the ""Super Riders"" team and they're gonna kick the ass of ""Satan"" and ""Doctor Death's"" organization.","Aliens and Science Fiction"
"The Race Against Cancer ","The Race Against Cancer  :  The Race Against Cancer was an event hosted at the end of 2007 aimed at bringing together some of the brightest talents in motorsport together for a one off kart race. Many international names flew in for what turned out to be a spectacular final race and a thoroughly enjoyable day of racing. All proceeds of the event were donated to Cancer Research UK.","Aliens and Science Fiction"
